files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12
D:\Dropbox\matlab_works\00_A\label_wide\w001.png,46,11,141,351,286,254,200,66,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w002.png,5,19,390,395,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w003.png,38,1,325,369,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w004.png,38,51,287,295,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w005.png,137,40,1,289,205,284,314,128,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w006.png,31,143,8,53,175,246,264,316,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w007.png,59,172,124,13,256,176,293,134,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w008.png,100,90,317,249,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w009.png,23,319,12,162,388,98,403,152,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w010.png,104,101,226,231,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w011.png,23,30,394,262,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w012.png,127,129,206,192,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w013.png,201,98,69,138,216,246,204,133,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w014.png,140,137,277,196,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w015.png,277,183,130,160,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w016.png,152,111,139,120,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w017.png,207,3,87,242,146,108,285,153,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w018.png,126,128,161,114,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w019.png,9,192,236,141,320,95,173,87,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w020.png,79,173,281,160,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w021.png,143,155,69,97,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w022.png,118,112,215,114,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w023.png,101,137,147,78,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w024.png,155,102,142,176,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w025.png,190,98,155,216,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w026.png,151,280,146,340,156,66,159,77,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w027.png,195,280,142,98,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w028.png,134,85,133,239,207,69,161,69,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w029.png,154,69,670,885,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w030.png,183,47,838,920,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w031.png,115,343,856,403,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w032.png,216,194,552,651,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w033.png,109,43,159,307,856,156,777,340,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w034.png,90,301,935,514,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w035.png,93,119,819,814,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w036.png,130,119,729,835,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w037.png,39,901,162,623,848,124,722,201,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w038.png,93,99,690,852,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w039.png,239,79,600,857,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w040.png,295,600,432,355,310,152,195,226,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w041.png,392,397,267,333,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w042.png,42,199,853,728,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w043.png,307,207,399,665,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w044.png,315,339,463,479,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w045.png,285,283,427,508,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w046.png,371,304,309,343,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w047.png,263,48,555,959,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w048.png,239,298,350,433,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w049.png,227,1,1,301,83,469,719,209,202,448,232,160
D:\Dropbox\matlab_works\00_A\label_wide\w050.png,314,1,135,159,382,106,782,105,,,,
