files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12,solar_13,solar_14,solar_15,solar_16,solar_17,solar_18,solar_19,solar_20
D:\Dropbox\matlab_works\00_A\label_zoom\z001.png,53,100,359,265,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z002.png,35,53,382,352,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z003.png,37,56,289,333,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z004.png,10,153,81,1,282,179,276,59,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z005.png,86,47,234,308,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z006.png,57,113,260,195,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z007.png,1,339,85,1,415,78,324,174,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z008.png,72,1,291,104,327,377,258,109,126,301,90,40,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z009.png,1,33,366,360,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z010.png,164,3,789,1007,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z011.png,168,210,703,691,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z012.png,153,16,630,972,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z013.png,79,150,812,760,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z014.png,164,61,180,288,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z015.png,1,53,336,364,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z016.png,229,180,628,563,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z017.png,175,208,641,608,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z018.png,1,178,958,729,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z019.png,224,69,569,895,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z020.png,211,142,702,742,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z021.png,244,347,586,205,547,763,781,523,439,357,266,199,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z022.png,28,1,150,541,997,121,716,176,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z023.png,47,227,969,607,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z024.png,37,242,964,641,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z025.png,1,560,99,490,796,465,639,492,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z026.png,1,34,898,905,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z027.png,253,251,475,461,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z028.png,143,230,715,495,,,,,,,,,,,,,,,,
